arm	af_bin	n_variants	fraction
Original mgatk	0.01-0.05	60	0.260869565217391
Original mgatk	0.05-0.10	38	0.165217391304348
Original mgatk	0.20-0.50	21	0.091304347826087
Original mgatk	0.10-0.20	26	0.11304347826087
Original mgatk	≥0.50	35	0.152173913043478
Original mgatk	<0.01	50	0.217391304347826
scMOCHA variant call	<0.01	291	0.395380434782609
scMOCHA variant call	0.01-0.05	220	0.298913043478261
scMOCHA variant call	0.05-0.10	69	0.09375
scMOCHA variant call	0.10-0.20	26	0.0353260869565217
scMOCHA variant call	0.20-0.50	29	0.0394021739130435
scMOCHA variant call	No detected cell	11	0.014945652173913
scMOCHA variant call	≥0.50	90	0.122282608695652
scMOCHA AF>5%	0.01-0.05	59	0.273148148148148
scMOCHA AF>5%	0.05-0.10	43	0.199074074074074
scMOCHA AF>5%	0.10-0.20	18	0.0833333333333333
scMOCHA AF>5%	0.20-0.50	17	0.0787037037037037
scMOCHA AF>5%	≥0.50	73	0.337962962962963
scMOCHA AF>5%	<0.01	6	0.0277777777777778
